0,699,960,729,960,729,973,699,973,191,PageNumber
1,472,29,547,29,547,48,472,48,Barbed,Title
2,554,29,604,29,604,48,554,48,Tube,Title
3,610,29,689,29,689,48,610,48,Fittings,Title
4,60,656,83,656,83,675,60,675,ForTube,Table
5,86,665,96,665,96,675,86,675,ID,Table
6,111,656,129,656,129,675,111,675,Pkg,Table
7,111,656,127,656,127,675,111,675,Qty,Table
8,250,665,268,665,268,675,250,675,Pkg,Table
9,60,678,76,678,76,688,60,688,1/4",Table
10,111,678,122,678,122,688,111,688,10,Table
11,161,678,209,678,209,688,161,688,5372K186,Table
12,240,678,271,678,271,688,240,688,$15.49,Table
13,60,687,76,687,76,698,60,698,3/8",Table
14,111,688,122,688,122,697,111,697,10,Table
15,161,688,209,688,209,697,161,697,5372K187,Table
16,245,688,271,688,271,697,245,697,15.62,Table
17,60,697,76,697,76,708,60,708,1/2",Table
18,111,697,122,697,122,707,111,707,10,Table
19,161,697,209,697,209,707,161,707,5372K188,Table
20,245,697,271,697,271,707,245,707,15.70,Table
21,63,738,68,738,68,746,63,746,•,List
22,71,737,117,737,117,746,71,746,Maximum,List
23,120,737,163,737,163,746,120,746,Pressure:,List
24,166,737,183,737,183,746,166,746,100,List
25,186,737,200,737,200,746,186,746,psi,List
26,203,737,211,737,211,746,203,746,@,List
27,214,737,230,737,230,746,214,746,72°,List
28,231,737,237,737,237,746,231,746,F,List
29,60,793,150,793,150,803,60,803,Tube-to-Threaded,SubsubTitle
30,153,793,175,793,175,803,153,803,Pipe,SubsubTitle
31,177,793,259,793,259,803,177,803,Adapters—Black,SubsubTitle
32,262,793,289,793,289,803,262,803,Nylon,SubsubTitle
33,63,758,68,758,68,765,63,765,•,List
34,71,756,105,756,105,766,71,766,Tubing:,List
35,108,756,126,756,126,766,108,766,Use,List
36,129,756,148,756,148,766,129,766,with,List
37,151,756,168,756,168,766,151,766,soft,List
38,171,756,189,756,189,766,171,766,and,List
39,192,756,209,756,209,766,192,766,firm,List
40,71,766,101,766,101,775,71,775,(Shore,List
41,104,766,147,766,147,775,104,775,A40-A80),List
42,150,766,171,766,171,775,150,775,PVC,List
43,173,766,191,766,191,775,173,775,and,List
44,71,775,131,775,131,785,71,785,polyurethane,List
45,63,748,68,748,68,756,63,756,•,List
46,71,746,129,746,129,756,71,756,Temperature,List
47,132,746,165,746,165,756,132,756,Range:,List
48,167,746,183,746,183,756,167,756,32°,List
49,186,746,195,746,195,756,186,756,to,List
50,198,746,214,746,214,756,198,756,95°,List
51,215,746,221,746,221,756,215,756,F,List
52,404,863,426,863,426,882,404,882,ForTube,Table
53,429,872,439,872,439,882,429,882,ID,Table
54,495,872,540,872,540,882,495,882,Straights,Table
55,577,872,592,872,592,882,577,882,90°,Table
56,595,872,631,872,631,882,595,882,Elbows,Table
57,679,872,702,872,702,882,679,882,Tees,Table
58,565,885,608,885,608,895,565,895,2429K59,Table
59,617,885,643,885,643,895,617,895,$1.51,Table
60,652,885,694,885,694,895,652,895,2429K52,Table
61,703,885,729,885,729,895,703,895,$1.14,Table
62,479,895,521,895,521,904,479,904,2429K37,Table
63,531,895,557,895,557,904,531,904,$0.59,Table
64,565,895,608,895,608,904,565,904,2429K45,Table
65,622,895,643,895,643,904,622,904,1.64,Table
66,652,895,694,895,694,904,652,904,2429K53,Table
67,709,895,729,895,729,904,709,904,1.46,Table
68,479,904,521,904,521,914,479,914,2429K38,Table
69,545,904,557,904,557,914,545,914,91,Table
70,565,904,608,904,608,914,565,914,2429K46,Table
71,622,904,643,904,643,914,622,914,1.74,Table
72,652,904,694,904,694,914,652,914,2429K54,Table
73,709,904,729,904,729,914,709,914,1.83,Table
74,479,914,521,914,521,924,479,924,2429K39,Table
75,536,914,557,914,557,924,536,924,1.23,Table
76,565,914,608,914,608,924,565,924,2429K47,Table
77,622,914,643,914,643,924,622,924,2.01,Table
78,652,914,694,914,694,924,652,924,2429K55,Table
79,709,914,729,914,729,924,709,924,2.15,Table
80,479,924,521,924,521,934,479,934,2429K41,Table
81,536,924,557,924,557,934,536,934,1.78,Table
82,565,924,608,924,608,934,565,934,2429K48,Table
83,622,924,643,924,643,934,622,934,2.60,Table
84,652,924,694,924,694,934,652,934,2429K56,Table
85,709,924,729,924,729,934,709,934,2.69,Table
86,479,934,521,934,521,943,479,943,2429K42,Table
87,536,934,557,934,557,943,536,943,2.15,Table
88,565,934,608,934,608,943,565,943,2429K49,Table
