0,32,960,42,960,42,973,32,973,2
1,72,29,117,29,117,48,72,48,How
2,124,29,145,29,145,48,124,48,to
3,151,29,230,29,230,48,151,48,Identify
4,237,29,275,29,275,48,237,48,and
5,282,29,372,29,372,48,282,48,Measure
6,379,29,425,29,425,48,379,48,Pipe
7,431,29,509,29,509,48,431,48,Fittings
8,516,29,531,29,531,48,516,48,&
9,537,29,583,29,583,48,537,48,Pipe
10,43,54,74,54,74,63,43,63,Before
11,77,54,111,54,111,63,77,63,making
12,114,54,120,54,120,63,114,63,a
13,123,54,175,54,175,63,123,63,connection
14,178,54,203,54,203,63,178,63,you’ll
15,206,54,229,54,229,63,206,63,need
16,232,54,242,54,242,63,232,63,to
17,245,54,270,54,270,63,245,63,know
18,273,54,288,54,288,63,273,63,the
19,291,54,321,54,321,63,291,63,thread
20,324,54,344,54,344,63,324,63,type
21,347,54,365,54,365,63,347,63,and
22,368,54,383,54,383,63,368,63,the
23,386,54,406,54,406,63,386,63,pipe
24,409,54,428,54,428,63,409,63,size
25,431,54,440,54,440,63,431,63,or
26,443,54,473,54,473,63,443,63,thread
27,476,54,495,54,495,63,476,63,size
28,501,54,518,54,518,63,501,63,The
29,521,54,551,54,551,63,521,63,thread
30,554,54,580,54,580,63,554,63,types
31,583,54,606,54,606,63,583,63,must
32,609,54,621,54,621,63,609,63,be
33,624,54,680,54,680,63,624,63,compatible
34,683,54,700,54,700,63,683,63,and
35,32,63,47,63,47,73,32,73,the
36,50,63,74,63,74,73,50,73,sizes
37,77,63,100,63,100,73,77,73,must
38,103,63,115,63,115,73,103,73,be
39,118,63,133,63,133,73,118,73,the
40,136,63,162,63,162,73,136,73,same
41,165,63,173,63,173,73,165,73,in
42,176,63,201,63,201,73,176,73,order
43,204,63,217,63,217,73,204,73,for
44,220,63,237,63,237,73,220,73,two
45,241,63,300,63,300,73,241,73,components
46,303,63,312,63,312,73,303,73,to
47,315,63,339,63,339,73,315,73,mate
48,342,63,381,63,381,73,342,73,properly
49,43,96,65,96,65,106,43,106,Pipe
50,67,96,87,96,87,106,67,106,size
51,90,96,97,96,97,106,90,106,is
52,100,96,115,96,115,106,100,106,not
53,117,96,129,96,129,106,117,106,an
54,132,96,160,96,160,106,132,106,actual
55,162,96,208,96,208,106,162,106,measured
56,211,96,232,96,232,106,211,106,size
57,235,96,250,96,250,106,235,106,but
58,253,96,280,96,280,106,253,106,rather
59,283,96,294,96,294,106,283,106,an
60,297,96,334,96,334,106,297,106,industry
61,337,96,358,96,358,106,337,106,des-
62,32,106,70,106,70,115,32,115,ignation
63,76,106,109,106,109,115,76,115,People
64,112,106,164,106,164,115,112,115,sometimes
65,167,106,188,106,188,115,167,115,refer
66,191,106,201,106,201,115,191,115,to
67,204,106,224,106,224,115,204,115,pipe
68,228,106,246,106,246,115,228,115,size
69,249,106,260,106,260,115,249,115,as
70,263,106,280,106,280,115,263,115,IPS
71,283,106,293,106,293,115,283,115,or
72,296,106,333,106,333,115,296,115,nominal
73,336,106,355,106,355,115,336,115,size
74,32,115,65,115,65,125,32,125,Thread
75,69,115,95,115,95,125,69,125,types
76,98,115,117,115,117,125,98,125,that
77,120,115,135,115,135,125,120,125,are
78,138,115,185,115,185,125,138,125,measured
79,189,115,200,115,200,125,189,125,by
80,204,115,225,115,225,125,204,125,pipe
81,228,115,247,115,247,125,228,125,size
82,250,115,284,115,284,125,250,125,include
83,288,115,310,115,310,125,288,125,NPT
84,314,115,336,115,336,125,314,125,BSP
85,340,115,357,115,357,125,340,125,and
86,32,125,62,125,62,135,32,135,NPSM
87,65,125,100,125,100,135,65,135,threads
88,106,125,160,125,160,135,106,135,Unthreaded
89,163,125,195,125,195,135,163,135,fittings
90,197,125,212,125,212,135,197,135,are
91,215,125,234,125,234,135,215,135,also
92,237,125,283,125,283,135,237,135,measured
93,286,125,297,125,297,135,286,135,by
94,300,125,320,125,320,135,300,135,pipe
95,323,125,341,125,341,135,323,135,size
96,43,135,77,135,77,145,43,145,Thread
